Years Since Marriage,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
1993,384,1699,2738,2671,2869,2997,2927,2866,2732,2723,2560,2549,2602,2455,2469
1994,348,1577,2618,2932,3087,3281,3020,2940,2933,2845,2803,2787,2638,2660,
1995,358,1563,2825,3151,3186,3260,3089,3087,3030,2956,2769,2750,2782,,
1996,355,1691,3094,3309,3339,3462,3316,3257,3154,3093,3015,3013,,,
1997,365,1858,3269,3469,3586,3621,3564,3524,3415,3231,3240,,,,
1998,440,1939,3478,3782,4014,3915,3920,3799,3676,3694,,,,,
1999,342,1910,3636,3974,4135,4263,4224,3900,3971,,,,,,
2000,301,2017,3660,4293,4264,4434,4427,4461,,,,,,,
2001,242,1977,3681,4115,4449,4281,4245,,,,,,,,
2002,323,1910,3570,3918,4057,4176,,,,,,,,,
2003,297,1961,3372,3752,4215,,,,,,,,,,
2004,327,1894,3599,4182,,,,,,,,,,,
2005,281,2018,3781,,,,,,,,,,,,
2006,311,1924,,,,,,,,,,,,,
2007,315,,,,,,,,,,,,,,
