Years Since Marriage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1993,0.000581527,0.00257668,0.004150764,0.004049441,0.004349072,0.004543755,0.004438495,0.004346007,0.00414202,0.004128175,0.00388182,0.003864264,0.0039445,0.003721895,0.003744102
1994,0.000517991,0.00234757,0.003898617,0.004364942,0.004596705,0.004885408,0.004496682,0.00437793,0.00436742,0.004235935,0.004172771,0.004149536,0.003927998,0.003960319,
1995,0.000544363,0.002375067,0.004293165,0.004787354,0.004840746,0.004953849,0.004693283,0.004690248,0.004604797,0.004491517,0.00420742,0.004179249,0.004227505,,
1996,0.000528753,0.002522546,0.00461485,0.004935512,0.004979006,0.005162427,0.004945828,0.004857463,0.004703702,0.004612134,0.004496406,0.004493049,,,
1997,0.000515589,0.002624354,0.004618523,0.004900976,0.005065828,0.005115639,0.005034751,0.004977902,0.004824706,0.004565114,0.004577585,,,,
1998,0.000624656,0.002751899,0.004937351,0.005368998,0.005698065,0.005557003,0.005563978,0.005392541,0.005218562,0.005244056,,,,,
1999,0.000459351,0.00256813,0.004887915,0.005342346,0.005559152,0.005730672,0.005677939,0.00524253,0.005338158,,,,,,
2000,0.00042593,0.002851743,0.005173929,0.006067944,0.006027252,0.006267752,0.006257547,0.006305868,,,,,,,
2001,0.000362959,0.002970908,0.00553186,0.006183245,0.006685821,0.006434057,0.006379943,,,,,,,,
2002,0.000523482,0.003096898,0.005789743,0.006353679,0.00657905,0.006772481,,,,,,,,,
2003,0.00050798,0.003356726,0.005772642,0.006423776,0.007216335,,,,,,,,,,
2004,0.000544439,0.003154365,0.005992869,0.00696395,,,,,,,,,,,
2005,0.000470869,0.003387501,0.006347688,,,,,,,,,,,,
2006,0.000529172,0.003278274,,,,,,,,,,,,,
2007,0.00052872,,,,,,,,,,,,,,
