Years Since Marriage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1993,0.0005815,0.0031582,0.0073090,0.0113584,0.0157075,0.0202512,0.0246897,0.0290357,0.0331778,0.0373059,0.0411878,0.0450520,0.0489965,0.0527184,0.0564625
1994,0.0005180,0.0028656,0.0067642,0.0111291,0.0157258,0.0206112,0.0251079,0.0294858,0.0338533,0.0380892,0.0422620,0.0464115,0.0503395,0.0542998,
1995,0.0005444,0.0029194,0.0072126,0.0119999,0.0168407,0.0217945,0.0264878,0.0311781,0.0357829,0.0402744,0.0444818,0.0486611,0.0528886,,
1996,0.0005288,0.0030513,0.0076661,0.0126017,0.0175807,0.0227431,0.0276889,0.0325464,0.0372501,0.0418622,0.0463586,0.0508517,,,
1997,0.0005156,0.0031399,0.0077585,0.0126594,0.0177253,0.0228409,0.0278757,0.0328536,0.0376783,0.0422434,0.0468210,,,,
1998,0.0006247,0.0033766,0.0083139,0.0136829,0.0193810,0.0249380,0.0305020,0.0358945,0.0411131,0.0463571,,,,,
1999,0.0004594,0.0030275,0.0079154,0.0132577,0.0188169,0.0245476,0.0302255,0.0354680,0.0408062,,,,,,
2000,0.0004259,0.0032777,0.0084516,0.0145195,0.0205468,0.0268146,0.0330721,0.0393780,,,,,,,
2001,0.0003630,0.0033339,0.0088657,0.0150490,0.0217348,0.0281688,0.0345488,,,,,,,,
2002,0.0005235,0.0036204,0.0094101,0.0157638,0.0223429,0.0291153,,,,,,,,,
2003,0.0005080,0.0038647,0.0096373,0.0160611,0.0232775,,,,,,,,,,
2004,0.0005444,0.0036988,0.0096917,0.0166556,,,,,,,,,,,
2005,0.0004709,0.0038584,0.0102061,,,,,,,,,,,,
2006,0.0005292,0.0038074,,,,,,,,,,,,,
2007,0.0005287,,,,,,,,,,,,,,
