Year,Divorce,Marriage,Population,,,,,,,,,,,,
1993,32483,659567,88752014,,,,,,,,,,,,
1994,35029,671640,90265775,,,,,,,,,,,,
1995,37455,658114,91724528,,,,,,,,,,,,
1996,38545,670523,93130089,,,,,,,,,,,,
1997,40792,707840,94478046,,,,,,,,,,,,
1998,45889,704456,95790135,,,,,,,,,,,,
1999,49271,743856,97114831,,,,,,,,,,,,
2000,52358,707422,98438557,,,,,,,,,,,,
2001,57370,665434,99715527,,,,,,,,,,,,
2002,60641,616654,100909374,,,,,,,,,,,,
2003,64248,584142,101999555,,,,,,,,,,,,
2004,67575,600563,103001867,,,,,,,,,,,,
2005,70184,595713,103946866,,,,,,,,,,,,
2006,72396,586978,104874282,,,,,,,,,,,,
2007,77255,595209,105790725,,,,,,,,,,,,
