Year,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
1920,41,57,38,43,28,49,6,33,1,1,,2,,,
1921,,2,,1,2,1,2,,,,,,1,,1
1922,2,1,1,1,2,1,1,1,,,,,,,2
1923,1,2,1,3,2,1,2,2,1,,,,1,,
1924,1,,1,1,2,,,,,,,,,,
1925,3,,,,1,,1,,1,,,,,,
1926,1,,1,1,,,1,1,1,1,,1,,,
1927,1,,1,,,1,1,2,,,,1,,1,
1929,,,,1,,2,1,,,,,1,,1,
1930,1,,1,2,1,,,1,,,1,,,,
1931,5,,1,,1,3,1,,,1,,,,2,
1932,,,,,,,,,,,,,,,1
1933,,1,1,,,,1,2,1,1,,1,,,1
1934,3,1,,1,2,2,,,,,,,,,1
1935,3,1,,3,,2,1,1,1,1,,,,,
1936,2,2,,1,,,2,,2,,,,,,
1937,,,3,1,1,3,,1,,,,1,,2,
1938,4,2,1,1,1,1,,,,,1,,,1,
1939,6,1,5,6,5,3,2,,2,1,2,,,1,1
1940,6,5,4,4,4,5,2,2,1,2,1,,1,,3
1941,,2,5,2,2,3,2,2,2,2,4,1,1,3,2
1942,2,5,4,7,3,2,4,2,4,6,4,2,3,1,
1943,9,1,6,8,3,5,6,1,4,1,6,4,2,,1
1944,10,8,5,7,5,5,1,5,3,9,3,6,4,1,8
1945,14,6,8,4,7,9,8,6,7,9,6,4,1,2,4
1946,10,9,6,7,7,5,6,7,5,4,4,4,3,4,2
1947,9,13,9,10,7,9,14,7,10,7,6,7,3,7,2
1948,11,14,18,10,9,10,16,10,11,5,6,4,3,6,3
1949,15,8,19,19,19,18,12,9,15,11,11,17,6,9,3
1950,25,18,23,26,21,12,16,18,16,12,9,13,10,9,10
1951,21,24,19,22,21,16,14,14,18,17,17,9,9,12,6
1952,30,23,33,30,17,24,17,24,24,17,21,14,13,10,7
1953,42,39,32,31,33,23,20,27,25,24,21,19,18,13,12
1954,40,43,34,28,50,43,41,40,30,36,32,25,11,32,24
1955,46,54,51,43,42,39,33,43,42,44,40,27,29,29,25
