"","Year.of.Marriage","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"1",1993,0.000576135555599355,0.00308687366105339,0.0071304355736415,0.0110708995447013,0.0154085938198849,0.0199312579313398,0.0243477918088685,0.0286748730606595,0.0328078875989854,0.0369257406753218,0.0407979780674291,0.0446035050267827,0.0485409367054446,0.0522554948928615,0.0559912791270637
"2",1994,0.000504734679292478,0.00279167411113096,0.00658537311655053,0.0109388958370556,0.0155142635935918,0.0203754987791079,0.0248525996069323,0.02922101125603,0.0335775117622536,0.0378029896968614,0.0419123339884462,0.0460544339229349,0.0499746888213924,0.0539262104698946,0.0590787275549875
"3",1995,0.000530303260529331,0.00284145300054398,0.00712338591794127,0.0118885177947894,0.0167053124534655,0.0216375886244632,0.0263206678478197,0.0309991885904266,0.0355926176923755,0.0400158635130084,0.044215743776914,0.0483867536627393,0.0526048678496431,0.0579303796064978,0.0625059078069166
"4",1996,0.000514523737440774,0.00303047024486856,0.00762389955303547,0.0125349913425789,0.0174923156998343,0.0226435185668501,0.0275769809536735,0.0324224523245288,0.0370546573346477,0.0416585262548787,0.0461460680692534,0.0506291357641721,0.0560691130021119,0.0608873904693044,0.065705667936496
"5",1997,0.000514240506329114,0.00312641274864376,0.00772208408679928,0.0126017179023508,0.0176565325497288,0.0227593806509946,0.027781702079566,0.0326839398734177,0.0375,0.0420561143761302,0.0466235307414105,0.0529704955505326,0.058031522284498,0.0630925490184633,0.0681535757524278
"6",1998,0.000621756362356201,0.00336003951985646,0.00827588948067729,0.0136332148494725,0.0193170332852584,0.0248603177487309,0.0303397231338792,0.0357226001340041,0.0409308743200427,0.0461632806023371,0.0512042431942878,0.0565080191950251,0.0618117951957633,0.0671155711965016,0.0724193471972389
"7",1999,0.000457077713966144,0.00301402421974146,0.00789131229700372,0.0132203007033619,0.0187657288507453,0.0244092942720096,0.0300770579251898,0.0353092534038846,0.0406355531178077,0.0467410343816074,0.0522875596491185,0.0578340849166287,0.0633806101841397,0.0689271354516508,0.074473660719161
"8",2000,0.000424075021698505,0.00326961841729548,0.00843061143136629,0.0144835755744096,0.020419212294783,0.0266757324482416,0.032920943934455,0.0392128036730551,0.0438993923468419,0.0496886668811254,0.0554779414154093,0.0612672159496923,0.0670564904839762,0.0728457650182602,0.0786350395525432
"9",2001,0.000362169651685967,0.00332564912523255,0.00884385228287103,0.0149331113228359,0.0216069512528665,0.0280283243717634,0.0343940946810653,0.0396000339799931,0.0456320577810494,0.0516640815821066,0.0576961053831634,0.0637281291842192,0.069760152985276,0.0757921767863328,0.0818242005873887
"10",2002,0.000522172887875535,0.0036114255319839,0.00931316427040123,0.0156554567066783,0.0222215375234735,0.0289789736221609,0.034756097997983,0.0410308710658122,0.0473056441336413,0.053580417201471,0.0598551902693006,0.0661299633371293,0.0724047364049589,0.0786795094727885,0.0849542825406172
"11",2003,0.000506726104269167,0.00381242916961972,0.00957472669316707,0.0159858390596807,0.0231861430953433,0.0294244794097287,0.0359420017443312,0.0424595240789332,0.0489770464135352,0.0554945687481372,0.0620120910827397,0.0685296134173413,0.0750471357519437,0.0815646580865462,0.0880821804211478
"12",2004,0.000536163566520082,0.00368487569164268,0.00966593013555614,0.0166144101451471,0.0235485761444733,0.0303088477458484,0.0370691193472237,0.0438293909485986,0.0505896625499734,0.0573499341513487,0.064110205752724,0.0708704773540985,0.0776307489554738,0.0843910205568491,0.0911512921582235
"13",2005,0.000470024995257784,0.00385084763971913,0.0101844344508178,0.0174829251942401,0.0244859460623880,0.0314889669305355,0.0384919877986837,0.0454950086668314,0.0524980295349791,0.0595010504031273,0.0665040712712755,0.0735070921394228,0.080510113007571,0.0875131338757191,0.0945161547438664
"14",2006,0.000528128822545308,0.00379912023960012,0.0104413227003696,0.0178037456943918,0.0252727925235221,0.0325119510600769,0.0397166751976785,0.0468586046340884,0.0539918935103554,0.0612884100721311,0.0686016285254034,0.0759289499240099,0.0832301798393518,0.090508683993141,0.0977246760502428
"15",2007,0.000527545786438041,0.00393142981895298,0.0107375410943362,0.0183543530454346,0.0260655602572502,0.0335125035729358,0.0409399945240936,0.0483121553866388,0.0556902826211787,0.0632424489395329,0.0708297167776069,0.0784115532606782,0.0859673706097377,0.0934937341563691,0.100942778932900
"16",2008,0.000485493421965755,0.00401176414413781,0.0110337594883030,0.0189049603964773,0.0268583279909782,0.0345130560857947,0.0421633138505086,0.0497657061391892,0.0573886717320025,0.0651964878069347,0.0730578050298094,0.0808941565973456,0.0887045613801236,0.096478784319598,0.104160881815559
"17",2009,0.000482881944279776,0.00409209846932268,0.0113299778822696,0.0194555677475201,0.0276510957247063,0.0355136085986536,0.0433866331769237,0.0512192568917396,0.0590870608428258,0.0671505266743364,0.075285893282012,0.0833767599340138,0.0914417521505104,0.0994638344828269,0.107378984698217
"18",2010,0.000480270466593797,0.00417243279450752,0.0116261962762364,0.0200061750985627,0.0284438634584343,0.0365141611115125,0.0446099525033388,0.0526728076442904,0.0607854499536495,0.0691045655417382,0.0775139815342145,0.0858593632706812,0.0941789429208963,0.102448884646055,0.110597087580875
