"","Year.of.Marriage","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"1",1993,0.0005815,0.0031582,0.007309,0.0113584,0.0157075,0.0202512,0.0246897,0.0290357,0.0331778,0.0373059,0.0411878,0.045052,0.0489965,0.0527184,0.0564625
"2",1994,0.000518,0.0028656,0.0067642,0.0111291,0.0157258,0.0206112,0.0251079,0.0294858,0.0338533,0.0380892,0.042262,0.0464115,0.0503395,0.0542998,0.0594158115384615
"3",1995,0.0005444,0.0029194,0.0072126,0.0119999,0.0168407,0.0217945,0.0264878,0.0311781,0.0357829,0.0402744,0.0444818,0.0486611,0.0528886,0.0582380666666667,0.0628321051282051
"4",1996,0.0005288,0.0030513,0.0076661,0.0126017,0.0175807,0.0227431,0.0276889,0.0325464,0.0372501,0.0418622,0.0463586,0.0508517,0.0562380145454546,0.06106252,0.0658870254545455
"5",1997,0.0005156,0.0031399,0.0077585,0.0126594,0.0177253,0.0228409,0.0278757,0.0328536,0.0376783,0.0422434,0.046821,0.05216088,0.0570702036363636,0.0619795272727273,0.0668888509090909
"6",1998,0.0006247,0.0033766,0.0083139,0.0136829,0.019381,0.024938,0.030502,0.0358945,0.0411131,0.0463571,0.0519952166666667,0.05742628,0.0628573433333333,0.0682884066666666,0.07371947
"7",1999,0.0004594,0.0030275,0.0079154,0.0132577,0.0188169,0.0245476,0.0302255,0.035468,0.0408062,0.0463392428571429,0.0518017190476191,0.0572641952380952,0.0627266714285714,0.0681891476190476,0.0736516238095238
"8",2000,0.0004259,0.0032777,0.0084516,0.0145195,0.0205468,0.0268146,0.0330721,0.039378,0.0451281857142857,0.0511937928571429,0.0572594,0.0633250071428571,0.0693906142857143,0.0754562214285714,0.0815218285714286
"9",2001,0.000363,0.0033339,0.0088657,0.015049,0.0217348,0.0281688,0.0345488,0.0406837933333333,0.046988639047619,0.0532934847619048,0.0595983304761905,0.0659031761904762,0.0722080219047619,0.0785128676190476,0.0848177133333333
"10",2002,0.0005235,0.0036204,0.0094101,0.0157638,0.0223429,0.0291153,0.03522728,0.04161954,0.0480118,0.05440406,0.06079632,0.06718858,0.07358084,0.0799731,0.08636536
"11",2003,0.000508,0.0038647,0.0096373,0.0160611,0.0232775,0.0293757,0.03584192,0.04230814,0.04877436,0.05524058,0.0617068,0.06817302,0.07463924,0.08110546,0.08757168
"12",2004,0.0005444,0.0036988,0.0096917,0.0166556,0.0229721666666667,0.0294505666666667,0.0359289666666667,0.0424073666666667,0.0488857666666667,0.0553641666666667,0.0618425666666667,0.0683209666666667,0.0747993666666667,0.0812777666666667,0.0877561666666667
"13",2005,0.0004709,0.0038584,0.0102061,0.0165538,0.0229015,0.0292492,0.0355969,0.0419446,0.0482923,0.05464,0.0609877,0.0673354,0.0736831,0.0800308,0.0863785
"14",2006,0.0005292,0.0038074,0.0102964384615384,0.0174129076923076,0.0246046756410254,0.0315369217948716,0.0385032071794869,0.0454827607692305,0.0524700592307688,0.0595392942307691,0.0666897208974353,0.073839883974359,0.0809651887995333,0.0880563157692302,0.0950687858848838
"15",2007,0.0005287,0.00392734945054948,0.0105673340659340,0.0179082472527472,0.0253113483516483,0.032416914285714,0.0395773635164836,0.0467626767032963,0.0539686088854001,0.0612690008006282,0.068666282642595,0.0760579574515958,0.0834171606522043,0.090733239077589,0.0979547812815023
"16",2008,0.000484520952380951,0.00400337890109892,0.0108382296703297,0.0184035868131868,0.0260180210622709,0.0332969067765565,0.0406515198534798,0.0480425926373624,0.055467158540031,0.062998707370487,0.0706428443877547,0.0782760309288335,0.0858691325048753,0.0934101623859469,0.100840776678120
"17",2009,0.000481202738095238,0.00407940835164838,0.0111091252747253,0.0188989263736263,0.0267246937728938,0.0341768992673992,0.0417256761904761,0.0493225085714282,0.056965708194662,0.0647284139403457,0.0726194061329144,0.0804941044060703,0.0883211043575463,0.0960870856943057,0.103726772074738
"18",2010,0.000477884523809523,0.00415543780219782,0.0113800208791208,0.0193942659340659,0.0274313664835164,0.0350568917582417,0.0427998325274723,0.0506024245054943,0.0584642578492933,0.0664581205102044,0.0745959678780741,0.082712177883307,0.0907730762102181,0.0987640090026636,0.106612767471356
